trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.2, 'e': 0.9976413066167068}",20,0,-40.819557556019134,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.9971238895327231}",20,0,-84.37372555171478,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
69,False,"{'a': 0.2, 'e': 0.9965156977148563}",25,0,-70.48628582052787,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.2, 'e': 0.9958053584586106}",20,0,-105.24015967158546,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.9949808267519744}",25,0,-36.43365194920655,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.2, 'e': 0.9940294487589524}",25,0,-66.43892585952302,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.9929380384377906}",25,0,-127.85134827562626,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
74,False,"{'a': 0.2, 'e': 0.9916929664476201}",25,0,-86.00118416179937,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.2, 'e': 0.9902802601970286}",20,6,-102.60048265180484,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
76,False,"{'a': 0.2, 'e': 0.9886857136195404}",30,0,-186.56569100574174,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
77,False,"{'a': 0.2, 'e': 0.9868950050320365}",20,0,-55.28986296551666,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.9848938212488927}",35,0,-102.63352252341458,"{0: 21, 1: 2, 2: 12, 3: 0, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.9826679859912355}",20,0,-86.9883208964225,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.2, 'e': 0.9802035905494314}",20,0,-109.58906971620019,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
81,False,"{'a': 0.2, 'e': 0.9774871246280182}",20,0,-89.26266823880165,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.2, 'e': 0.9745056053242759}",20,0,-70.97796978388526,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.2, 'e': 0.9712467022614241}",20,0,-129.68240559872118,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.2, 'e': 0.9676988570106049}",25,4,-84.25510813645904,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 1}",1
85,False,"{'a': 0.2, 'e': 0.9638513950868645}",20,0,-200.16652211648483,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 4}",0
86,False,"{'a': 0.2, 'e': 0.9596946289870185}",20,0,-104.44527870079126,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
87,False,"{'a': 0.2, 'e': 0.9552199509448351}",20,0,-89.14226485193936,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.9504199143044331}",20,0,-202.41285279829287,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
89,False,"{'a': 0.2, 'e': 0.9452883026492959}",30,15,-21.89494450295655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.2, 'e': 0.939820186065218}",30,0,-125.06988275176951,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
91,False,"{'a': 0.2, 'e': 0.9340119641546875}",20,0,-41.55719359067277,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
92,False,"{'a': 0.2, 'e': 0.9278613956521359}",20,0,-96.56216471447313,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
93,False,"{'a': 0.2, 'e': 0.9213676147093444}",20,0,-7.3923695398623614,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.9145311341240541}",25,0,-37.297012452651785,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
